number,startLocation,endLocation,intermediateStops
100D,NGOS COLONY,DILSUKHNAGAR,"['GOVT HOSPITAL ', 'RED TANK', 'GANESH TEMPLE ', 'PANAMA', 'CHINTHALKUNTA', 'L.B NAGAR', 'NTR NAGAR', 'KOTHAPET', 'CHAITANYAPURI']"
100G,BANDLAGUDA,SECRETARIAT,"['MATHUGUDA', 'ANAND NAGAR', 'SUJATHA HOTEL', 'SAI NAGAR', 'RAMKRISHNAPURAM', 'KOTHAPET', 'DILSUKHNAGAR ', 'MOOSARAMBAGH', 'SUPER BAZAR', 'CHADARGHAT', 'KOTI', 'ABIDS']"
100M,SAHARA,SECUNDERABAD,"['MANSOORABAD', 'KAMINENI HOSP', 'L.B NAGAR', 'NTR NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR ', 'MOOSARAMBAGH', 'CHADARGHAT', 'KOTI', 'ABIDS', 'NAMPALLY', 'ASSEMBLY', 'SECRETARIAT']"
104A,RAJIVGRUHAKALPA,KOTI,"['YSR COLONY', 'ALMASGUDA', 'PRASHANT HILLS', 'MEERPET', 'LALITHA NAGAR', 'JILLELGUDA', 'CHAMPAPET', 'SAIDABAD', 'MALAKPET', 'CHADARGHAT']"
104R/127K,RN REDDY,LINGAMPALLY,"['NANDANAVANAM', 'KARMANGHAT', 'CHAMPAPET', 'SAIDABAD', 'MALAKPET', 'KOTI', 'ABIDS', 'LAKDIKAPOOL', 'MLA COLONY', 'PEDDAMMA TEMPLE', 'IMAGE HOSP', 'KONDAPUR', 'MADEENAGUDA', 'CHANDANAGAR']"
113F/T,CHENGICHERLA,BORABANDA,"['SAI NAGAR', 'MEDIPALLY', 'BODUPPAL', 'UPPAL', 'HABSIGUDA', 'ADIKMET', 'FEVER HOSP', 'NARAYANAGUDA', 'KHAIRATABAD', 'PUNJAGUTTA', 'AMEERPET', 'ERRAGADDA']"
113M/G,GAR KOKAPET,UPPAL,"['INFOTECH', 'INFOSYS', 'GACHIBOWLI', 'KHAJAGUDA', 'BRINDAVAN COLONY', 'MEHDIPATNAM', 'LAKDIKAPOOL', 'SECRETARIAT', 'NARAYANAGUDA', 'FEVER HOSP', 'AMBERPET', 'RAMANTHAPUR']"
113M/W,UPPAL,MEHDIPATNAM,"['NAGOLE', 'ALKAPURI', 'KAMINENI HOSP', 'L.B NAGAR', 'SAGAR RING ROAD', 'OWAISI HOSP', 'DRDL', 'PALLE CHERUVU', 'ARAMGHAR', 'UPPERAPALLY', 'ATTAPUR']"
113T/K,MIYAPUR,UPPAL,"['JNTU', 'MOSAPET', 'SR NAGAR', 'AMEERPET', 'IRRUM MANZIL', 'LAKDIKAPOOL', 'HIMAYATHNAGAR', 'TARNAKA', 'NGRI']"
113Y/H,UPPAL,HITECH CITY,"['RAMANTHAPUR', 'AMBERPET', 'NTR STADIUM', 'LAKDIKAPOOL', 'PUNJAGUTTA', 'YOUSUFGUDA', 'PEDDAMMA TEMPLE']"
115,INDIRA NAGAR,KOTI,"['BODUPPAL', 'UPPAL', 'RAMANTHAPUR', 'AMBERPET', 'CHADARGHAT']"
116G/M,GACHIBOWLI,MEHDIPATNAM,"['KHAJAGUDA', 'BRINDAVAN COLONY']"
116N,GOWLIDODDY,KOTI,"['NANAKRAMGUDA', 'KHAJAGUDA', 'BRINDAVAN COLONY', 'MEHDIPATNAM', 'NAMPALLY', 'ABIDS']"
117M,KUSHAIGUDA,BANDLAGUDA,"['ASHOK NAGAR', 'MALLAPUR', 'UPPAL', 'NAGOLE', 'MATHUGUDA']"
120,MEHDIPATNAM,OSMAN SAGAR,"['LANGAR HOUSE', 'IBRAHIM BAGH', 'HANUMAN  TEMPLE', 'KOKAPET', 'GANDIPET']"
126M,MEHDIPATNAM,JNTU,"['BRINDAVAN COLONY', 'KHAJAGUDA', 'RAIDURGAM', 'HITECH CITY', 'KPHB']"
127K,PATANCHERUVU,KOTI,"['LINGAM PALLY', 'KONDAPUR', 'HITECH CITY', 'MADHAPUR', 'PEDDAMMA TEMPLE', 'MLA COLONY', 'BANJARA HILLS', 'LAKDIKAPOOL', 'ABIDS']"
127K/H,KONDAPUR,HAYATHNAGAR,"['HITECH CITY', 'MADHAPUR', 'PEDDAMMA TEMPLE', 'MLA COLONY', 'BANJARA HILLS', 'LAKDIKAPOOL', 'ABIDS', 'KOTI', 'MALAKPET', 'MOOSARAMBAGH', 'DILSUKHNAGR', 'CHAITANYAPURI', 'KOTHAPET', 'NTR NAGAR', 'L.B NAGAR', 'CHINTALKUNTA', 'PANAMA', 'BHAGYALATHA']"
156/299,MEHDIPATNAM,HAYATHNAGAR,"['LAKDIKAPOOL', 'ABIDS', 'KOTI', 'MALAKPET', 'MOOSARAMBAGH', 'DILSUKHNAGAR', 'KOTHAPET', 'NTR NAGAR', 'L.B NAGAR', 'CHINTALAKUNTA', 'PANAMA', 'BHAGYALATHA']"
107JL,SECUNDERABAD,LB NAGAR,"['RATHIFILE', 'CHILKALGUDA', 'SITAPHALMANDI', 'NAMALAGUNDU', 'WARASIGUDA ', 'ARTS COLLEGE', 'JAMIA OSMANIA', 'RAMNAGAR GUNDU', 'VIDYANAGAR', 'GOLNAKA', 'ALICAFE', 'SRIPURAM', 'MUSARAMBAGH', 'DILSUKNAGAR', 'CHAITANYAPURI', 'KOTHAPET', 'DWARAKA NAGAR', 'NTR NAGAR']"
107JS,SECUNDERABAD,SAROOR NAGAR,"['RATHIFILE', 'CHILKALGUDA', 'SITAPHALMANDI', 'NAMALAGUNDU', 'WARASIGUDA ', 'ARTS COLLEGE', 'JAMIA OSMANIA', 'RAMNAGAR GUNDU', 'VIDYANAGAR', 'TILAKNAGAR', 'KACHIGUDA', 'GOLNAKA', 'SRIPURAM COLONY', 'MOOSARAMBAGH', 'DILSUKHNAGAR', 'CHAITANYAPURI', 'KOTHAPET', 'HUDA COLONY']"
10F,SECUNDERABAD,BORABANDA,"['PATNY', 'PARADISE', 'PRAKASH NAGAR', 'BEGUMPET', 'LAL BUNGLOW', 'MAITRIVANAM', 'SR NAGAR', 'ERRAGADDA', 'PR NAGAR', 'KABEER NAGAR', 'MOTINAGAR']"
10F/V,SECUNDERABAD,VBIT PARK,"['PATNY', 'PARADISE', 'PRAKASH NAGAR', 'BEGUMPET', 'LAL BUNGLOW', 'MAITRIVANAM', 'SR NAGAR', 'ERRAGADDA', 'SANATH NAGAR', 'PR NAGAR', 'KABEER NAGAR', 'MOTINAGAR', 'BORABANDA', 'ALLAPUR', 'PARVATHPUR', 'HITECH CITY']"
10J/171,SECUNDERABAD,KPHB,"['PATNY', 'TIVOLI', 'TADBAND', 'THOKATTA', 'BOWENPALLY', 'FEROZGUDA', 'BALANAGAR', 'IDPL COLONY', 'GANESH NAGAR', 'CHINTAL', 'QUTHBULLAPUR', 'HMT', 'GAJULARAMARAM', 'NLB NAGAR', 'SIKH BASTHI', 'NTR NAGAR', 'YELLAMABANDA']"
10K/J,SECUNDERABAD,JAGADGIRIGUTTA,"['PATNY', 'PARADISE', 'PRAKASH NAGAR', 'BEGUMPET', 'LAL BUNGLOW', 'MAITRIVANAM', 'SR NAGAR', 'ERRAGADDA', 'BHARATH NAGAR', 'HABIB NAGAR', 'KUKATPALLY', 'ALLWYN COLONY']"
10KM,SECUNDERABAD,HYDERNAGAR,"['PATNY', 'PARADISE', 'PRAKASH NAGAR', 'BEGUMPET', 'LAL BUNGLOW', 'MAITRIVANAM', 'SR NAGAR', 'ERRAGADDA', 'BHARATH NAGAR', 'MOOSAPET', 'KUKATPALLY', 'JNTU', 'NIZAMPET']"
10Y/F,SECUNDERABAD,BORABANDA,"['PATNY', 'PARADISE', 'PRAKASH NAGAR', 'BEGUMPET', 'LAL BUNGLOW', 'MAITRIVANAM', 'YOUSUFGUDA', 'RAHMATH NAGAR', 'SRI RAM NAGAR', 'MOTINAGAR']"
219,SECUNDERABAD,ISNAPUR,"['PATNY', 'PARADISE', 'TADBUND', 'BOWENPALLY', 'BALANAGAR', 'KUKATPALLY', 'KPHB', 'JNTU X ROAD', 'VASANTH NAGAR', 'HYDERNAGAR', 'MIYAPUR', 'ALLWYN', 'MADEENAGUDA', 'CHANDANAGAR', 'LINGAMPALLY', 'ASHOK NAGAR BHEL', 'RC PURAM', 'PATANCHERUVU', 'PC TANDA', 'MUTHANGI']"
21W,SECUNDERABAD,WEST VENKATAPUR,"['PATNY', 'JBS', 'KARKHANA', 'THIRUMALGIRI', 'LAL BAZAR', 'LOTHUKUNTA', 'SATYA ALWAL', 'MES COLONY']"
19F,MEHDIPATNAM,BORABANDA,"['NMDC', 'MASAB TANK', 'G.V.K', 'NIMS HOSPITAL', 'PANJAGUTTA', 'AMEERPET', 'MAITRIVANAM', 'SR NAGAR', 'ERRAGADDA', 'PR NAGAR', 'KABEER NAGAR', 'MOTINAGAR']"
1M/D,RATHIFILE,SATYA NAGAR,"['MUSHEERABAD', 'CHIKKADAPALLY', 'KOTI', 'CHADARGHAT', 'DILSUKHNAGAR', 'MARUTI NAGAR']"
1Z,ARAMGHAR,RATHIFILE,"['SHIVARAMPALLY', 'HASAN NAGAR', 'DANAMA JHOPDI', 'TADBUND', 'KISHAN BAGH', 'BAHADURPURA', 'PURANA POOL', 'CITY COLLEGE', 'MADINA', 'AFZALGUNJ', 'CHADARGHAT', 'KOTI', 'RAMKOTI', 'NARAYANGUDA', 'CHIKKADAPALLY', 'MUSHEERABAD', 'CHILKALGUDA']"
2,RATHIFILE,AFZALGUNJ,"['CHILKALGUDA', 'BHOIGUDA', 'MUSHEERABAD', 'NALAKUNTA', 'KACHIGUDA', 'NIMBOLIADDA', 'CHADARGHAT', 'CBS']"
201,BACHARAM,KOTI,"['GOWRELLY', 'TARAMATHIPET', 'PASUMAMULA', 'KUNTLOOR', 'HAYATHNAGAR', 'BHAGYALATHA', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA', 'LB NAGAR', 'NTR NAGAR', 'DWARAKA NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALKPET', 'CHADARGHAT']"
201G,NAGOLE ,GOWRELLY,"['ARUNODHAYA NAGAR', 'BANDLAGUDA', 'ANAND NAGAR', 'MATHUGUDA', 'BANDLAGUDA', 'THATTI ANNARAM', 'QUTHUBULLAPUR']"
201K,HAYATHNAGAR,KUNTLOOR,"['MOTHERDAIRY', 'KUNTLOOR VILLAGE', 'MILESTONE']"
201M,KOTI,MARRIPALLE,"['CHADARGHAT', 'NALGONDA  X ROAD', 'MOOSARAMBAGH', 'DILSUKH NAGAR', 'KOTHAPET', 'MOHAN NAGAR', 'BANDLAGUDA', 'ANAND NAGAR', 'MATHUGUDA', 'TATTIANNARAM', 'RK NAGAR']"
202B,DILSUKHNAGAR,BRAHMANAPALLY,"['CHAITANYAPURI', 'KOTHAPET', 'NTR NAGAR', 'LB NAGAR', 'CHINTAL KUNTA', 'PANAMA', 'AUTO NAGAR', 'BHAGYALATHA', 'HAYATHNAGAR', 'RTC COLONY', 'MUNUGANOOR', 'THORRUR VILLAGE']"
202T,HAYATHNAGAR,THORRUR,"['RTC COLONY', 'THORRUR', 'HAYATHNAGAR VILLAGE', 'MUNUGANOOR']"
203,ADIBATLA,PISAL BANDA,"['CHANAKYAPURI', 'NADARGUL', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'UDYOG', 'LENIN NAGAR', 'BALAPUR X ROAD', 'DHATU NAGAR']"
203A,ADIBATLA,KOTI,"['NADARGUL', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'LENIN NAGAR', 'BALAPUR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'MALAKPET', 'CHADARDHAT']"
2203A/R,RAVIRYAL,KOTI,"['WONDERLA X ROAD', 'KONGARA KALAN', 'ADIBATLA', 'CHANAKYAPURI', 'GANDHI NAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'UDYOG NAGAR', 'LENIN NAGAR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'CHADARGHAT']"
204,GANDI CHERUVU,KOTI,"['PEDDA AMBERPET', 'HAYATH NAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA', 'LB NAGAR', 'NTR NAGAR', 'DWARAKA NAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALAKPET CHERMAS', 'CHADAR GHAT']"
204U,DILSUKHNAGAR,SANGHI TEMPLE,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTALKUNTA', 'PANAMA', 'AUTONAGAR', 'BHAGHYALATHA', 'RTC COLONY', 'PEDDA AMBERPET', 'GANDICHERUVU', 'UPPARIGUDA', 'KOHEDA', 'UMARKHANGUDA']"
205L,ANAJPUR,LB NAGAR,"['MAJEEDPUR X ROAD', 'SURMAIGUDA', 'LASHKARGUDA', 'ABDULLAPURMET', 'GANDIMAISAMMA', 'ORR', 'PEDDA AMBERPET', 'HAYATH NAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTALKUNTA']"
208D,DILSUKHNAGAR,HAYATHNAGAR,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTALKUNTA', 'PANAMA', 'VANASTHALI PURAM', 'KAMALA NAGAR', 'SUBHADRA NAGAR', 'SHARADHA NAGAR', 'SHANTHI NAGAR', 'BHAGYALATHA', 'RTC COLONY']"
